Time (s),Amplitude (V)
8.498660053597856e-05,0.0
8.499660013599457e-05,0.016666666666666607
8.500659973601056e-05,0.0
8.501659933602657e-05,0.0
8.502659893604256e-05,0.0
8.503659853605856e-05,0.0
8.504659813607456e-05,0.0
8.505659773609056e-05,0.0
8.506659733610656e-05,0.0
8.507659693612256e-05,0.0
8.508659653613857e-05,0.0
8.509659613615456e-05,0.0
8.510659573617055e-05,0.0
8.511659533618656e-05,0.0
8.512659493620255e-05,0.0
8.513659453621856e-05,0.0
8.514659413623456e-05,0.0
8.515659373625055e-05,0.016666666666666607
8.516659333626656e-05,0.0
8.517659293628255e-05,0.0
8.518659253629856e-05,0.0
8.519659213631455e-05,0.0
8.520659173633055e-05,0.016666666666666607
8.521659133634655e-05,0.0
8.522659093636255e-05,0.0
8.523659053637855e-05,0.0
8.524659013639455e-05,0.0
8.525658973641054e-05,0.0
8.526658933642655e-05,0.0
8.527658893644254e-05,0.016666666666666607
8.528658853645855e-05,0.0
8.529658813647454e-05,0.0
8.530658773649055e-05,0.0
8.531658733650655e-05,0.0
8.532658693652254e-05,0.0
8.533658653653855e-05,0.0
8.534658613655454e-05,0.016666666666666607
8.535658573657055e-05,0.0
8.536658533658654e-05,0.0
8.537658493660254e-05,-0.016666666666666607
8.538658453661854e-05,0.0
8.539658413663454e-05,0.0
8.540658373665054e-05,0.0
8.541658333666654e-05,0.0
8.542658293668253e-05,0.016666666666666607
8.543658253669854e-05,0.0
8.544658213671453e-05,0.0
8.545658173673054e-05,-0.016666666666666607
8.546658133674653e-05,0.0
8.547658093676253e-05,0.0
8.548658053677854e-05,0.0
8.549658013679453e-05,0.0
8.550657973681054e-05,0.0
8.551657933682653e-05,0.0
8.552657893684252e-05,0.0
8.553657853685853e-05,0.0
8.554657813687453e-05,0.0
8.555657773689053e-05,0.016666666666666607
8.556657733690653e-05,0.0
8.557657693692253e-05,0.0
8.558657653693853e-05,0.0
8.559657613695452e-05,0.0
8.560657573697053e-05,0.0
8.561657533698652e-05,0.0
8.562657493700253e-05,0.0
8.563657453701852e-05,0.0
8.564657413703452e-05,0.0
8.565657373705053e-05,0.0
8.566657333706652e-05,0.0
8.567657293708253e-05,0.016666666666666607
8.568657253709852e-05,0.0
8.569657213711451e-05,0.0
8.570657173713052e-05,0.0
8.571657133714652e-05,0.0
8.572657093716252e-05,0.016666666666666607
8.573657053717852e-05,0.0
8.574657013719451e-05,0.0
8.575656973721052e-05,0.0
8.576656933722651e-05,0.0
8.577656893724252e-05,0.0
8.578656853725851e-05,0.0
8.579656813727452e-05,0.016666666666666607
8.580656773729051e-05,0.0
8.581656733730651e-05,0.0
8.582656693732252e-05,0.0
8.583656653733851e-05,0.0
8.584656613735452e-05,0.016666666666666607
8.585656573737051e-05,0.0
8.58665653373865e-05,0.0
8.587656493740251e-05,0.0
8.58865645374185e-05,0.0
8.589656413743451e-05,0.0
8.59065637374505e-05,0.0
8.59165633374665e-05,0.0
8.592656293748251e-05,0.0
8.59365625374985e-05,0.0
8.594656213751451e-05,0.0
8.59565617375305e-05,0.0
8.59665613375465e-05,0.0
8.59765609375625e-05,0.0
8.59865605375785e-05,0.0
8.59965601375945e-05,0.0
8.60065597376105e-05,0.0
8.60165593376265e-05,0.0
8.60265589376425e-05,0.0
8.60365585376585e-05,0.0
8.60465581376745e-05,0.0
8.60565577376905e-05,0.0
8.60665573377065e-05,0.0
8.60765569377225e-05,0.0
8.608655653773849e-05,0.0
